time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,plate_boundary_distance,plate_boundary_distance
2022-03-04T21:28:02.440Z,38.7596664,-122.7196655,1.61,1.24,md,14.0,115.0,0.004494,0.04,nc,nc73701241,2022-03-04T21:29:36.906Z,"3km SW of Anderson Springs, CA",earthquake,0.3,0.36,0.1,5.0,automatic,nc,nc,56.36579997133084,56.36579997133084
2022-03-04T21:27:28.190Z,38.8338318,-122.8154984,1.82,1.13,md,22.0,66.0,0.01632,0.02,nc,nc73701236,2022-03-04T21:29:02.128Z,"8km NW of The Geysers, CA",earthquake,0.19,0.53,0.14,4.0,automatic,nc,nc,53.55586106939538,53.55586106939538
2022-03-04T21:25:05.130Z,35.5966682,-120.2713318,11.57,2.31,md,5.0,178.0,0.159,0.01,nc,nc73701231,2022-03-04T21:26:56.893Z,"11km SE of Shandon, CA",earthquake,3.14,3.51,0.76,3.0,automatic,nc,nc,34.44129343937026,34.44129343937026
2022-03-04T21:20:43.590Z,35.9291667,-117.6608333,3.25,0.88,ml,9.0,73.0,0.02053,0.13,ci,ci40199696,2022-03-04T21:24:10.449Z,"22km E of Little Lake, CA",earthquake,0.33,0.74,0.055,10.0,automatic,ci,ci,156.31287358276427,156.31287358276427
2022-03-04T21:19:08.215Z,62.3602,-149.6345,9.8,1.4,ml,,,,0.52,ak,ak0222wjh21x,2022-03-04T21:22:15.794Z,"24 km NNE of Susitna North, Alaska",earthquake,,0.5,,,automatic,ak,ak,393.7486248564091,393.7486248564091
2022-03-04T21:05:59.100Z,17.9613333333333,-66.8488333333333,13.23,2.37,md,7.0,207.0,,0.14,pr,pr71338988,2022-03-04T21:24:40.820Z,"4 km ESE of Maria Antonia, Puerto Rico",earthquake,0.79,0.46,0.0181228584208633,3.0,reviewed,pr,pr,200.3862178417069,200.3862178417069
2022-03-04T20:56:56.870Z,19.183666229248,-155.483001708984,30.7099990844727,1.83000004,md,33.0,77.0,,0.129999995,hv,hv72937897,2022-03-04T21:18:58.762Z,"2 km SSW of Pahala, Hawaii",earthquake,0.66,0.910000026,0.910000026,8.0,automatic,hv,hv,3552.526911839426,3552.526911839426
2022-03-04T20:51:11.140Z,19.1878337860107,-155.487167358398,31.2399997711182,2.13000011,md,38.0,70.0,,0.129999995,hv,hv72937892,2022-03-04T20:56:41.360Z,"1 km SSW of Pahala, Hawaii",earthquake,0.52,0.800000012,1.74000001,18.0,automatic,hv,hv,3552.4749504877677,3552.4749504877677
2022-03-04T20:47:42.018Z,63.1005,-144.4542,0.0,1.5,ml,,,,0.8,ak,ak0222wj1p2c,2022-03-04T20:52:32.826Z,"40 km WNW of Mentasta Lake, Alaska",earthquake,,1.1,,,automatic,ak,ak,312.19149742694054,312.19149742694054
2022-03-04T20:16:28.690Z,17.9978333333333,-67.025,16.22,2.4,md,5.0,119.0,,0.07,pr,pr71338953,2022-03-04T20:27:48.710Z,"3 km NE of La Parguera, Puerto Rico",earthquake,0.69,0.87,0.031969220420617,3.0,reviewed,pr,pr,195.31698999968881,195.31698999968881
2022-03-04T20:10:30.440Z,19.175666809082,-155.465835571289,31.3400001525879,2.38,ml,47.0,111.0,,0.140000001,hv,hv72937872,2022-03-04T20:16:00.930Z,"3 km SSE of Pahala, Hawaii",earthquake,0.53,0.620000005,2.98,9.0,automatic,hv,hv,3551.983041533419,3551.983041533419
2022-03-04T19:51:22.560Z,33.069,-116.0461667,7.75,1.54,ml,35.0,45.0,0.119,0.25,ci,ci40199664,2022-03-04T20:02:10.970Z,"12km SE of Ocotillo Wells, CA",earthquake,0.3,1.08,0.116,28.0,automatic,ci,ci,31.396199202661585,31.396199202661585
2022-03-04T19:49:21.540Z,38.8148346,-122.7726669,4.28,0.84,md,10.0,159.0,0.006459,0.08,nc,nc73701201,2022-03-04T20:17:20.857Z,"4km W of Cobb, CA",earthquake,0.67,1.77,,1.0,automatic,nc,nc,55.36441419259847,55.36441419259847
2022-04-09T06:07:25.250Z,18.2643333333333,-67.146,24.0,2.15,md,12.0,120.0,,0.25,pr,pr71343858,2022-04-09T08:14:31.420Z,"2 km SSW of Aasco, Puerto Rico",earthquake,0.54,1.54,0.0811137771190305,8.0,reviewed,pr,pr,166.04754799885944,166.04754799885944
